num,nor,ps
465,23967.64,7106.959546
466,24018.85,7107.659546
467,24070.25,7109.059546
468,24121.64,7110.679546
469,24173.21,7112.659546
470,24224.67,7114.629546
471,24276.5,7115.319546
472,24327.81,7166.889546
473,24379.28,7167.469546
474,24430.82,7168.159546
475,24482.34,7169.099546
476,24533.62,7169.789546
477,24585.44,7170.479546
478,24636.81,7172.099546
479,24688.19,7172.789546
480,24739.58,7173.489546
481,24791.49,7174.179546
482,24842.87,7174.869546
483,24894.24,7175.559546
484,24946.1,7176.249546
485,24997.6,7176.829546
486,25049.17,7177.679546
487,25101.31,7178.579546
488,25153.11,7179.159546
489,25204.89,7179.739546
490,25256.18,7231.249546
491,25307.59,7233.209546
492,25359.31,7233.909546
493,25410.6,7343.459729
494,25462.2,7344.379729
495,25514.35,7345.289729
496,25566.02,7346.679729
497,25617.7,7347.629729
498,25669.05,7349.599729
499,25720.64,7350.289729
500,25772.0,7350.979729
501,25823.51,7398.499729
502,25875.05,7400.479729
503,25926.48,7401.069729
504,25978.03,7401.759729
505,26029.44,7402.699729
506,26080.87,7403.269729
507,26132.35,7403.959729
508,26183.89,7404.909729
509,26235.4,7405.599729
510,26287.05,7406.969729
511,26338.47,7408.909729
512,
