num,No-PS,eager
524,2630.9675,1628.606588
525,2636.274,1630.145088
526,2640.758,1631.848088
527,2645.6855,1633.377588
528,2650.2735,1634.918088
529,2655.5925,1636.504088
530,2659.5505,1638.165588
531,2664.1975,1639.932088
532,2669.971,1641.599588
533,2675.355,1643.246088
534,2681.0925,1644.918588
535,2686.387,1646.561088
536,2691.4905,1648.300088
537,2696.0495,1649.876088
538,2701.8145,1651.568588
539,2707.004,1653.314088
540,2711.466,1654.966588
541,2716.7355,1656.628088
542,2721.191,1658.284088
543,2726.5015,1660.124088
544,2730.988,1661.822588
545,2735.791,1663.343588
546,2740.401,1664.947588
547,2744.916,1666.415088
548,2749.733,1667.949088
549,2755.1475,1669.713588
550,2760.5205,1671.361088
551,2766.192,1673.021588
552,2770.935,1674.661588
553,2775.5175,1676.216588
554,2780.321,1677.779088
555,2784.4895,1679.330588
556,2789.491,1689.593244
557,2794.666,1691.118244
558,2799.6965,1692.702244
559,2805.0505,1694.353744
560,2810.89,1696.022744
561,2816.417,1697.665744
562,2821.207,1699.477744
563,2826.0425,1701.005244
564,2830.6115,1702.558244
565,2834.802,1704.108244
566,2840.1685,1705.878744
567,2845.0665,1707.399244
568,2850.007,1708.991244
569,2855.6265,1710.676244
570,2860.6305,1712.347244
571,2866.489,1714.015744
572,2870.482,1715.656744
573,2875.1225,1717.237744
574,2879.1435,1718.864244
575,2884.537,1720.658244
576,2890.285,1722.264244
577,2895.323,1723.897744
578,2899.8535,1725.534744
579,2905.185,1727.194744
580,2910.761,1728.867244
581,2915.011,1730.414744
582,2919.9605,1732.045744
583,2925.372,1733.626744
584,2929.972,1735.192744
585,2935.013,1737.038244
586,2940.664,1738.715744
587,2945.4935,1743.498244
588,2950.492,1745.155244
589,2954.9715,1746.972744
590,2960.305,1748.503744
591,2965.3335,1750.163744
592,2970.657,1751.707244
593,2976.274,1753.470244
594,2980.2875,1755.105244
595,2984.2635,1756.746744
596,2989.858,1758.400244
597,2995.4025,1760.072244
598,3000.441,1761.522744
599,3005.3635,1763.105244
600,3010.7455,1764.778744
601,3016.121,1766.610244
602,3020.8775,1768.238744
603,3025.452,1769.791244
604,3030.072,1771.388744
605,3035.937,1773.064744
606,3041.3125,1774.713744
607,3046.6,1776.252244
608,3051.9015,1777.786244
609,3057.7575,1779.531244
610,3063.013,1781.219744
611,3067.5775,1782.779244
612,3071.5945,1784.436244
613,3075.741,1785.991244
614,3081.609,1787.671244
615,3086.656,1789.422744
616,3091.4965,1791.007744
617,3096.895,1792.676744
618,3101.7225,1794.192744
619,3107.5495,1795.860744
620,3112.1585,1797.421244
621,3117.683,1808.603123
622,3122.7345,1810.264623
623,3128.569,1812.013623
624,3133.964,1813.891623
625,3138.4825,1815.529623
626,3143.5415,1817.302123
627,3149.0885,1819.183623
628,3153.6955,1820.752623
629,3159.074,1822.421623
630,3164.4575,1824.004623
631,3168.457,1825.634623
632,3173.2395,1827.280123
633,3177.21,1828.925123
634,3181.7895,1830.378623
635,3186.306,1832.208123
636,3192.1185,1833.891123
637,3196.092,1835.547123
638,3201.172,1837.285123
